

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
032.928  000.160  000.089: require('gitsigns.config')
032.977  000.047  000.047: require('gitsigns.signs.base')
032.978  000.265  000.058: require('gitsigns.signs')
032.981  000.323  000.057: require('gitsigns.hunks')
033.046  000.694  000.135: require('gitsigns.git')
033.165  000.056  000.056: require('gitsigns.cache')
033.212  000.046  000.046: require('gitsigns.debounce')
033.255  000.041  000.041: require('gitsigns.diff')
033.266  000.219  000.075: require('gitsigns.manager')
033.363  000.093  000.093: require('gitsigns.highlight')
033.370  001.219  000.087: require('gitsigns')
034.052  000.061  000.061: require('gitsigns.signs.vimfn')
034.769  002.709  001.429: require('user.git.gitsigns_config')
034.948  000.051  000.051: require('telescope._extensions')
034.950  000.101  000.049: require('telescope')
035.870  000.285  000.285: require('plenary.bit')
035.997  000.126  000.126: require('plenary.functional')
036.048  000.033  000.033: require('ffi')
036.085  000.608  000.164: require('plenary.path')
036.095  000.845  000.237: require('plenary.strings')
036.227  000.107  000.107: require('telescope.deprecated')
036.634  000.111  000.111: require('plenary.log')
036.644  000.297  000.185: require('telescope.log')
036.769  000.060  000.060: require('plenary.job')
036.822  000.047  000.047: require('telescope.state')
036.826  000.182  000.075: require('telescope.utils')
036.830  000.601  000.123: require('telescope.sorters')
037.707  002.755  001.202: require('telescope.config')
038.212  003.442  000.586: require('user.ui.telescope_config')
038.432  000.041  000.041: require('plenary.enum')
038.492  000.048  000.048: require('plenary.tbl')
038.499  000.151  000.062: require('session_manager.config')
038.613  000.067  000.067: require('plenary.scandir')
038.615  000.115  000.048: require('session_manager.utils')
038.617  000.316  000.051: require('session_manager')
038.625  000.411  000.095: require('user.ui.nvim-session-manager_config')
039.641  000.060  000.060: require('fidget.log')
039.646  000.131  000.071: require('fidget')
039.727  000.054  000.054: require('fidget.spinners')
040.087  000.127  000.127: require('vim.lsp.log')
040.335  000.247  000.247: require('vim.lsp.protocol')
040.581  000.121  000.121: require('vim.lsp._snippet')
040.663  000.081  000.081: require('vim.highlight')
040.671  000.335  000.133: require('vim.lsp.util')
040.683  000.825  000.116: require('vim.lsp.handlers')
040.788  000.104  000.104: require('vim.lsp.rpc')
040.866  000.077  000.077: require('vim.lsp.sync')
040.970  000.103  000.103: require('vim.lsp.semantic_tokens')
041.067  000.096  000.096: require('vim.lsp.buf')
