

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
033.551  000.107  000.050: require('gitsigns.subprocess')
033.823  000.099  000.099: require('gitsigns.message')
033.840  000.187  000.088: require('gitsigns.config')
033.888  000.046  000.046: require('gitsigns.signs.base')
033.890  000.286  000.052: require('gitsigns.signs')
033.897  000.345  000.059: require('gitsigns.hunks')
033.905  000.672  000.085: require('gitsigns.git')
034.024  000.059  000.059: require('gitsigns.cache')
034.070  000.045  000.045: require('gitsigns.debounce')
034.112  000.040  000.040: require('gitsigns.diff')
034.120  000.215  000.070: require('gitsigns.manager')
034.198  000.077  000.077: require('gitsigns.highlight')
034.205  001.177  000.081: require('gitsigns')
034.872  000.070  000.070: require('gitsigns.signs.vimfn')
035.524  002.587  001.340: require('user.git.gitsigns_config')
035.687  000.046  000.046: require('telescope._extensions')
035.689  000.095  000.049: require('telescope')
036.247  000.365  000.365: require('plenary.bit')
036.349  000.101  000.101: require('plenary.functional')
036.393  000.032  000.032: require('ffi')
036.467  000.654  000.156: require('plenary.path')
036.476  000.728  000.074: require('plenary.strings')
036.543  000.066  000.066: require('telescope.deprecated')
037.013  000.177  000.177: require('plenary.log')
037.063  000.428  000.251: require('telescope.log')
037.399  000.248  000.248: require('plenary.job')
037.447  000.046  000.046: require('telescope.state')
037.470  000.406  000.112: require('telescope.utils')
037.474  000.930  000.096: require('telescope.sorters')
038.533  002.843  001.119: require('telescope.config')
039.204  003.679  000.741: require('user.ui.telescope_config')
039.479  000.044  000.044: require('plenary.enum')
039.525  000.041  000.041: require('plenary.tbl')
039.531  000.142  000.057: require('session_manager.config')
039.650  000.071  000.071: require('plenary.scandir')
039.653  000.121  000.050: require('session_manager.utils')
039.655  000.325  000.063: require('session_manager')
039.663  000.457  000.132: require('user.ui.nvim-session-manager_config')
040.650  000.056  000.056: require('fidget.log')
040.658  000.132  000.076: require('fidget')
040.773  000.055  000.055: require('fidget.spinners')
041.149  000.140  000.140: require('vim.lsp.log')
041.391  000.241  000.241: require('vim.lsp.protocol')
041.615  000.103  000.103: require('vim.lsp._snippet')
041.698  000.082  000.082: require('vim.highlight')
041.708  000.317  000.132: require('vim.lsp.util')
041.714  000.808  000.110: require('vim.lsp.handlers')
041.817  000.102  000.102: require('vim.lsp.rpc')
041.899  000.081  000.081: require('vim.lsp.sync')
042.005  000.105  000.105: require('vim.lsp.semantic_tokens')
042.107  000.101  000.101: require('vim.lsp.buf')
042.199  000.089  000.089: require('vim.lsp.diagnostic')
042.288  000.088  000.088: require('vim.lsp.codelens')
042.334  001.559  000.185: require('vim.lsp')
042.713  000.088  000.088: require('vim.treesitter.language')
042.717  000.186  000.098: require('vim.treesitter.query')
043.095  000.110  000.110: require('vim.treesitter.languagetree')
043.113  000.215  000.105: require('vim.treesitter')
043.197  000.397  000.182: require('nvim-treesitter.parsers')
043.247  000.049  000.049: require('nvim-treesitter.utils')
043.250  000.493  000.047: require('nvim-treesitter.ts_utils')
043.254  000.536  000.043: require('nvim-treesitter.tsrange')
043.289  000.035  000.035: require('nvim-treesitter.caching')
043.294  000.808  000.052: require('nvim-treesitter.query')
043.302  000.872  000.064: require('nvim-treesitter.configs')
043.312  000.955  000.083: require('user.ui.treesitter_config')
043.377  000.064  000.064: require('user.files.vimtex_config')
043.601  000.040  000.040: require('smart-splits.config')
043.608  000.090  000.050: require('smart-splits.api')
043.650  000.039  000.039: require('smart-splits.resize-mode')
043.651  000.213  000.085: require('smart-splits')
043.654  000.276  000.063: require('user.ui.smart-splits_config')
043.779  000.124  000.124: require('user.colorschemes.nightfly_config')
044.322  000.364  000.364: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/kanagawa.nvim/colors/kanagawa.vim
045.858  002.078  001.714: require('user.colorschemes.onedarkpro_config')
046.056  000.038  000.038: require('toggleterm.lazy')
046.092  000.035  000.035: require('toggleterm.constants')
046.161  000.067  000.067: require('toggleterm.terminal')
046.163  000.208  000.068: require('toggleterm')
046.252  000.045  000.045: require('toggleterm.colors')
046.292  000.039  000.039: require('toggleterm.utils')
046.295  000.131  000.047: require('toggleterm.config')
046.336  000.003  000.003: require('vim.keymap')
046.451  000.058  000.058: require('toggleterm.commandline')
046.461  000.602  000.201: require('user.term.toggleterm_config')
046.462  028.220  001.091: require('plugconfig')
046.571  000.108  000.108: require('keymapping')
046.699  000.037  000.037: require('lsp-zero.presets')
046.790  000.042  000.042: require('lsp-zero.settings')
046.793  000.094  000.051: require('lsp-zero.server')
046.797  000.182  000.052: require('lsp-zero')
047.115  000.033  000.033: require('cmp.utils.debug')
047.199  000.047  000.047: require('cmp.utils.char')
047.202  000.087  000.040: require('cmp.utils.str')
047.238  000.035  000.035: require('cmp.utils.pattern')
047.367  000.048  000.048: require('cmp.utils.misc')
047.399  000.031  000.031: require('cmp.utils.buffer')
047.436  000.037  000.037: require('cmp.utils.api')
047.439  000.162  000.046: require('cmp.utils.keymap')
047.441  000.202  000.040: require('cmp.utils.feedkeys')
047.481  000.040  000.040: require('cmp.utils.async')
047.583  000.031  000.031: require('cmp.types.cmp')
047.671  000.088  000.088: require('cmp.types.lsp')
047.706  000.034  000.034: require('cmp.types.vim')
047.707  000.190  000.037: require('cmp.types')
047.739  000.031  000.031: require('cmp.utils.cache')
047.741  000.258  000.037: require('cmp.context')
047.865  000.039  000.039: require('cmp.config.mapping')
048.341  000.041  000.041: require('cmp.config.compare')
048.342  000.476  000.435: require('cmp.config.default')
048.347  000.560  000.045: require('cmp.config')
048.432  000.036  000.036: require('cmp.matcher')
048.435  000.087  000.051: require('cmp.entry')
048.438  000.697  000.050: require('cmp.source')
048.514  000.033  000.033: require('cmp.utils.event')
048.591  000.040  000.040: require('cmp.utils.window')
048.593  000.078  000.038: require('cmp.view.docs_view')
048.669  000.032  000.032: require('cmp.utils.autocmd')
048.674  000.080  000.048: require('cmp.view.custom_entries_view')
048.720  000.046  000.046: require('cmp.view.wildmenu_entries_view')
048.761  000.040  000.040: require('cmp.view.native_entries_view')
048.796  000.034  000.034: require('cmp.view.ghost_text_view')
048.800  000.361  000.049: require('cmp.view')
048.859  001.829  000.117: require('cmp.core')
048.932  000.032  000.032: require('cmp.config.sources')
048.965  000.031  000.031: require('cmp.config.window')
048.992  002.024  000.132: require('cmp')
048.994  002.123  000.099: require('cmp_nvim_lua')
049.032  000.037  000.037: require('lsp-zero.installer')
049.129  000.031  000.031: require('mason-core.path')
049.133  000.067  000.036: require('mason.settings')
049.230  000.055  000.055: require('mason-core.functional')
049.309  000.032  000.032: require('mason-core.functional.data')
049.312  000.072  000.041: require('mason-core.functional.function')
049.350  000.032  000.032: require('mason-core.functional.relation')
049.393  000.040  000.040: require('mason-core.functional.logic')
049.400  000.266  000.067: require('mason-core.platform')
049.401  000.368  000.034: require('mason')
049.487  000.046  000.046: require('mason-core.log')
049.489  000.087  000.040: require('mason-lspconfig')
049.923  000.032  000.032: require('luasnip.session')
049.968  000.044  000.044: require('luasnip.util.util')
050.000  000.031  000.031: require('luasnip.util.types')
050.075  000.038  000.038: require('luasnip.util.ext_opts')
050.077  000.077  000.039: require('luasnip.nodes.util')
050.111  000.033  000.033: require('luasnip.util.events')
050.115  000.265  000.048: require('luasnip.nodes.node')
050.197  000.033  000.033: require('luasnip.util.extend_decorator')
050.201  000.085  000.052: require('luasnip.nodes.insertNode')
050.238  000.037  000.037: require('luasnip.nodes.textNode')
050.279  000.039  000.039: require('luasnip.util.mark')
050.525  000.201  000.201: require('luasnip.util._builtin_vars')
050.569  000.289  000.087: require('luasnip.util.environ')
050.609  000.039  000.039: require('luasnip.util.pattern_tokenizer')
050.640  000.030  000.030: require('luasnip.util.dict')
050.678  000.038  000.038: require('luasnip.session.snippet_collection')
050.693  000.896  000.074: require('luasnip.nodes.snippet')
050.763  000.031  000.031: require('luasnip.loaders._caches')
050.828  000.064  000.064: require('luasnip.util.path')
050.835  000.141  000.046: require('luasnip.loaders')
050.900  000.063  000.063: require('luasnip.util.log')
050.958  000.052  000.052: require('luasnip.nodes.functionNode')
051.007  000.049  000.049: require('luasnip.nodes.choiceNode')
051.051  000.043  000.043: require('luasnip.nodes.dynamicNode')
051.112  000.047  000.047: require('luasnip.nodes.restoreNode')
051.229  000.041  000.041: require('luasnip.util.parser.neovim_ast')
051.670  000.040  000.040: require('luasnip.util.directed_graph')
051.673  000.523  000.443: require('luasnip.util.parser.ast_utils')
051.744  000.032  000.032: require('luasnip.util.functions')
051.746  000.072  000.040: require('luasnip.util.parser.ast_parser')
051.799  000.052  000.052: require('luasnip.util.parser.neovim_parser')
051.833  000.033  000.033: require('luasnip.util.str')
051.835  000.721  000.040: require('luasnip.util.parser')
051.909  000.033  000.033: require('luasnip.extras.filetype_functions')
051.945  000.031  000.031: require('luasnip.nodes.absolute_indexer')
051.981  000.035  000.035: require('luasnip.extras')
052.016  000.034  000.034: require('luasnip.extras.fmt')
052.113  000.033  000.033: require('luasnip.extras.conditions')
052.144  000.030  000.030: require('luasnip.extras.conditions.show')
052.182  000.134  000.071: require('luasnip.extras.conditions.expand')
052.183  000.166  000.032: require('luasnip.extras.expand_conditions')
052.217  000.033  000.033: require('luasnip.extras.postfix')
052.380  000.544  000.212: require('luasnip.config')
052.382  002.635  000.080: require('luasnip')
052.686  000.035  000.035: require('luasnip.loaders.util')
052.724  000.037  000.037: require('luasnip.nodes.snippetProxy')
052.727  000.122  000.050: require('luasnip.loaders.from_vscode')
058.725  009.011  006.254: require('lsp-zero.snippets')
058.797  000.070  000.070: require('lsp-zero.nvim-cmp-setup')
062.518  000.157  000.157: require('vim.diagnostic')
062.783  000.049  000.049: require('mason-core.functional.list')
062.800  000.120  000.071: require('mason.api.command')
062.997  000.036  000.036: require('mason-lspconfig.settings')
063.039  000.041  000.041: require('mason-lspconfig.lspconfig_hook')
063.115  000.075  000.075: require('lspconfig.util')
063.210  000.041  000.041: require('mason-core.functional.table')
063.234  000.118  000.077: require('mason-lspconfig.mappings.server')
063.349  000.039  000.039: require('mason-core.async')
063.383  000.033  000.033: require('mason-core.async.uv')
063.386  000.113  000.041: require('mason-core.fs')
063.422  000.035  000.035: require('mason-core.optional')
063.455  000.033  000.033: require('mason-core.EventEmitter')
063.520  000.064  000.064: require('mason-registry.index')
063.527  000.292  000.048: require('mason-registry')
063.561  000.033  000.033: require('mason-lspconfig.server_config_extensions')
063.604  000.042  000.042: require('lspconfig.configs')
063.646  000.041  000.041: require('lspconfig.server_configurations.omnisharp')
063.746  000.031  000.031: require('mason-core.notify')
063.779  000.032  000.032: require('mason-core.functional.number')
063.787  000.114  000.051: require('mason-lspconfig.api.command')
063.860  000.030  000.030: require('lsp-zero.utils')
063.863  000.075  000.045: require('lsp-zero.state')
064.056  000.039  000.039: require('cmp_nvim_lsp.source')
064.057  000.079  000.040: require('cmp_nvim_lsp')
064.194  000.034  000.034: require('lspconfig')
064.233  000.038  000.038: require('lspconfig.server_configurations.jsonls')
064.746  000.040  000.040: require('lspconfig.server_configurations.jedi_language_server')
065.166  000.044  000.044: require('lspconfig.server_configurations.tailwindcss')
065.558  000.046  000.046: require('lspconfig.server_configurations.texlab')
066.030  000.103  000.103: require('lspconfig.server_configurations.eslint')
066.404  000.049  000.049: require('lspconfig.server_configurations.sumneko_lua')
066.753  000.035  000.035: require('mason-lspconfig.ensure_installed')
066.873  000.039  000.039: require('mason-core.result')
067.007  000.062  000.062: require('mason-core.process')
067.018  000.105  000.043: require('mason-core.spawn')
067.056  000.037  000.037: require('mason-core.receipt')
067.095  000.034  000.034: require('mason-core.functional.string')
067.107  000.234  000.058: require('mason-core.installer.context')
067.167  000.038  000.038: require('mason-core.installer.linker')
067.207  000.039  000.039: require('mason-core.async.control')
067.209  000.415  000.065: require('mason-core.installer')
067.253  000.044  000.044: require('mason-core.installer.handle')
067.478  000.088  000.088: require('mason-core.managers.powershell')
067.479  000.123  000.035: require('mason-core.fetch')
067.480  000.155  000.032: require('mason-core.managers.cargo.client')
067.559  000.039  000.039: require('mason-core.managers.std')
067.625  000.030  000.030: require('mason-core.providers')
067.629  000.069  000.039: require('mason-core.managers.github.client')
067.631  000.150  000.043: require('mason-core.managers.github')
067.636  000.349  000.043: require('mason-core.managers.cargo')
067.680  000.043  000.043: require('mason-core.managers.composer')
067.719  000.038  000.038: require('mason-core.managers.gem')
067.756  000.036  000.036: require('mason-core.managers.git')
067.806  000.049  000.049: require('mason-core.managers.go')
067.852  000.045  000.045: require('mason-core.managers.luarocks')
067.901  000.048  000.048: require('mason-core.managers.npm')
067.945  000.043  000.043: require('mason-core.managers.pip3')
067.948  000.693  000.041: require('mason-core.package.version-check')
067.950  001.196  000.045: require('mason-core.package')
068.022  000.068  000.068: require('mason-registry.eslint-lsp')
068.067  000.037  000.037: require('mason-registry.lua-language-server')
068.106  000.037  000.037: require('mason-registry.jedi-language-server')
068.108  021.536  006.707: require('lsp')
068.112  061.818  000.380: sourcing /Users/frbarnes/.config/nvim/init.lua
068.131  002.442: sourcing vimrc file(s)
068.681  000.009  000.009: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
068.828  000.006  000.006: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
068.926  000.012  000.012: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/cls.vim
068.970  000.015  000.015: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/tex.vim
069.009  000.009  000.009: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/tikz.vim
069.269  000.872  000.822: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/filetype.lua
069.566  000.046  000.046: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/syntax/synload.vim
069.637  000.284  000.238: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/syntax/syntax.vim
071.398  000.085  000.085: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/gzip.vim
071.436  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/health.vim
071.956  000.096  000.096: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
072.047  000.582  000.486: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/matchit.vim
072.165  000.089  000.089: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/matchparen.vim
072.356  000.161  000.161: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/netrwPlugin.vim
072.502  000.008  000.008: sourcing /Users/frbarnes/.local/share/nvim/rplugin.vim
072.506  000.115  000.107: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/rplugin.vim
072.586  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/shada.vim
072.633  000.012  000.012: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/spellfile.vim
072.716  000.050  000.050: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/tarPlugin.vim
072.793  000.045  000.045: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/tohtml.vim
072.839  000.012  000.012: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/tutor.vim
072.953  000.071  000.071: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/zipPlugin.vim
073.296  000.228  000.228: sourcing /Users/frbarnes/.config/nvim/plugin/packer_compiled.lua
073.780  000.020  000.020: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/editorconfig.lua
073.834  000.021  000.021: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/man.lua
073.888  000.016  000.016: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/nvim.lua
073.906  003.059: loading rtp plugins
074.771  000.193  000.193: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/auto-pairs/plugin/auto-pairs.vim
