

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.141  000.135: event init
000.295  000.155: early init
000.650  000.355: locale set
000.674  000.023: init first window
001.053  000.379: inits 1
001.064  000.011: window checked
001.065  000.002: parsing arguments
001.498  000.073  000.073: require('vim.shared')
001.621  000.055  000.055: require('vim._meta')
001.623  000.122  000.068: require('vim._editor')
001.624  000.231  000.036: require('vim._init_packages')
001.626  000.330: init lua interpreter
006.059  004.433: expanding arguments
006.150  000.092: inits 2
006.429  000.279: init highlight
006.430  000.001: waiting for UI
009.397  002.967: done waiting for UI
009.413  000.016: init screen for UI
009.678  000.265: init default mappings
009.695  000.017: init default autocommands
012.041  000.080  000.080: sourcing /opt/homebrew/Cellar/neovim/HEAD-9b4cab0_1/share/nvim/runtime/ftplugin.vim
012.333  000.028  000.028: sourcing /opt/homebrew/Cellar/neovim/HEAD-9b4cab0_1/share/nvim/runtime/indent.vim
017.184  000.289  000.289: require('packer.util')
017.211  002.687  002.398: require('packer')
017.480  000.268  000.268: require('packer.log')
018.077  000.239  000.239: require('packer.async')
018.490  000.160  000.160: require('packer.result')
018.493  000.415  000.254: require('packer.jobs')
018.497  001.001  000.347: require('packer.plugin_utils')
018.761  000.249  000.249: require('packer.snapshot')
018.981  005.106  000.901: require('plugins')
024.304  005.320  005.320: require('impatient')
024.517  000.209  000.209: require('user.colorschemes.kanagawa_config')
024.761  000.079  000.079: require('kanagawa')
024.830  000.057  000.057: require('kanagawa.colors')
025.015  000.055  000.055: require('kanagawa.hsluv')
025.018  000.119  000.064: require('kanagawa.color')
025.019  000.179  000.060: require('kanagawa.themes')
025.158  000.098  000.098: require('kanagawa.hlgroups')
025.532  000.862  000.449: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/kanagawa.nvim/colors/kanagawa.vim
026.021  000.048  000.048: require('lualine_require')
026.259  000.356  000.307: require('lualine')
029.257  000.113  000.113: require('lualine.utils.mode')
029.781  003.951  003.483: require('user.ui.lualine_config')
030.100  000.051  000.051: require('tabby.module.log')
030.153  000.052  000.052: require('tabby.module.highlight')
030.155  000.184  000.081: require('tabby.module.render')
030.286  000.055  000.055: require('tabby.module.api')
030.345  000.057  000.057: require('tabby.feature.tabwins')
030.346  000.190  000.077: require('tabby.feature.lines')
030.351  000.459  000.085: require('tabby.tabline')
030.386  000.604  000.145: require('user.ui.tabby_config')
031.411  000.081  000.081: require('nvim-tree.iterators.node-iterator')
031.422  000.542  000.461: require('nvim-tree.utils')
031.425  000.610  000.068: require('nvim-tree.events')
031.573  000.054  000.054: require('nvim-tree.log')
031.665  000.091  000.091: require('nvim-tree.git.utils')
031.726  000.060  000.060: require('nvim-tree.git.runner')
031.775  000.047  000.047: require('nvim-tree.watcher')
031.777  000.305  000.053: require('nvim-tree.git')
031.822  000.044  000.044: require('nvim-tree.explorer.watch')
031.863  000.040  000.040: require('nvim-tree.explorer.common')
031.948  000.042  000.042: require('nvim-tree.explorer.node-builders')
031.991  000.042  000.042: require('nvim-tree.explorer.sorters')
032.032  000.040  000.040: require('nvim-tree.explorer.filters')
032.144  000.066  000.066: require('nvim-tree.view')
032.147  000.114  000.048: require('nvim-tree.live-filter')
032.148  000.285  000.047: require('nvim-tree.explorer.explore')
032.191  000.041  000.041: require('nvim-tree.explorer.reload')
032.193  000.767  000.053: require('nvim-tree.explorer')
032.194  001.451  000.074: require('nvim-tree.core')
032.244  000.048  000.048: require('nvim-tree.diagnostics')
032.286  000.041  000.041: require('nvim-tree.renderer.components.padding')
032.330  000.043  000.043: require('nvim-tree.renderer.components.icons')
032.417  000.047  000.047: require('nvim-tree.renderer.components.full-name')
032.458  000.039  000.039: require('nvim-tree.renderer.help')
032.507  000.049  000.049: require('nvim-tree.renderer.components.git')
032.563  000.055  000.055: require('nvim-tree.renderer.builder')
032.607  000.043  000.043: require('nvim-tree.marks')
032.610  001.949  000.133: require('nvim-tree.renderer')
032.661  000.044  000.044: require('nvim-tree.actions.tree-modifiers.collapse-all')
032.701  000.039  000.039: require('nvim-tree.actions.root.dir-up')
032.749  000.047  000.047: require('nvim-tree.actions.root.change-dir')
032.795  000.045  000.045: require('nvim-tree.actions.reloaders.reloaders')
032.837  000.041  000.041: require('nvim-tree.actions.finders.find-file')
032.838  002.244  000.079: require('nvim-tree.lib')
032.887  000.047  000.047: require('nvim-tree.colors')
032.942  000.054  000.054: require('nvim-tree.legacy')
032.995  000.051  000.051: require('nvim-tree.actions.fs.copy-paste')
033.084  000.043  000.043: require('nvim-tree.actions.tree-modifiers.expand-all')
033.127  000.042  000.042: require('nvim-tree.actions.tree-modifiers.toggles')
033.172  000.043  000.043: require('nvim-tree.actions.fs.create-file')
033.214  000.041  000.041: require('nvim-tree.actions.fs.rename-file')
033.266  000.050  000.050: require('nvim-tree.actions.fs.trash')
033.319  000.051  000.051: require('nvim-tree.actions.fs.remove-file')
033.365  000.044  000.044: require('nvim-tree.actions.moves.parent')
033.406  000.040  000.040: require('nvim-tree.actions.moves.sibling')
033.447  000.040  000.040: require('nvim-tree.actions.moves.item')
033.492  000.042  000.042: require('nvim-tree.actions.finders.search-node')
033.533  000.041  000.041: require('nvim-tree.actions.node.run-command')
033.575  000.040  000.040: require('nvim-tree.actions.node.file-popup')
033.628  000.052  000.052: require('nvim-tree.actions.node.system-open')
033.667  000.037  000.037: require('nvim-tree.marks.bulk-move')
033.670  000.674  000.067: require('nvim-tree.actions.dispatch')
033.678  003.202  000.132: require('nvim-tree')
034.408  000.053  000.053: require('vim.inspect')
035.228  000.090  000.090: require('nvim-tree.actions')
035.307  000.075  000.075: require('nvim-tree.actions.node.open-file')
036.099  000.048  000.048: require('nvim-tree.marks.navigation')
036.102  000.117  000.069: require('nvim-tree.api')
036.111  000.204  000.087: require('nvim-tree.keymap')
036.382  000.004  000.004: require('vim.F')
036.385  000.170  000.166: require('nvim-web-devicons')
038.156  007.769  003.974: require('user.ui.nvimtree_config')
038.348  000.046  000.046: require('gitsigns.async')
038.387  000.038  000.038: require('gitsigns.status')
038.489  000.041  000.041: require('gitsigns.debug')
038.536  000.046  000.046: require('gitsigns.util')
038.614  000.040  000.040: require('gitsigns.uv')
038.616  000.079  000.039: require('gitsigns.subprocess')
038.804  000.037  000.037: require('gitsigns.message')
038.813  000.107  000.070: require('gitsigns.config')
038.850  000.035  000.035: require('gitsigns.signs.base')
038.851  000.179  000.037: require('gitsigns.signs')
038.854  000.238  000.058: require('gitsigns.hunks')
038.859  000.470  000.067: require('gitsigns.git')
038.948  000.039  000.039: require('gitsigns.cache')
038.984  000.035  000.035: require('gitsigns.debounce')
039.021  000.036  000.036: require('gitsigns.diff')
039.027  000.168  000.058: require('gitsigns.manager')
039.080  000.052  000.052: require('gitsigns.highlight')
039.085  000.840  000.066: require('gitsigns')
039.559  000.054  000.054: require('gitsigns.signs.vimfn')
040.638  002.481  001.587: require('user.git.gitsigns_config')
040.843  000.054  000.054: require('telescope._extensions')
040.846  000.116  000.062: require('telescope')
041.178  000.080  000.080: require('plenary.bit')
